x_m,y_m,z_m,U,V,W
0.0406811,0.0,0.0439327,-0.0004111,0.000724,0.0921109
0.0406811,0.0,0.0454973,-0.0004125,0.0007482,0.0969513
0.0406811,0.0,0.0470619,-0.0004125,0.0007482,0.0969513
0.0406811,0.0,0.0486265,-0.000412,0.000772,0.101875
0.0406811,0.0,0.0501911,-0.0004096,0.0007953,0.1068614
0.0406811,0.0,0.0517558,-0.0004051,0.000818,0.1118876
0.0406811,0.0,0.0533204,-0.0004051,0.000818,0.1118876
0.0406811,0.0,0.054885,-0.0003983,0.0008399,0.1169276
0.0406811,0.0,0.0564496,-0.0003891,0.0008611,0.121953
0.0406811,0.0,0.0580142,-0.0003775,0.0008814,0.1269329
0.0406811,0.0,0.0595789,-0.0003775,0.0008814,0.1269329
0.0406811,0.0,0.0611435,-0.0003634,0.0009007,0.1318345
0.0406811,0.0,0.0627081,-0.0003193,0.0009309,0.1366209
0.0406811,0.0,0.0642727,-0.0002999,0.0009481,0.1412593
0.0406811,0.0,0.0658373,-0.0002999,0.0009481,0.1412593
0.0406811,0.0,0.0674019,-0.0002785,0.0009641,0.1457113
0.0406811,0.0,0.0689666,-0.0002557,0.0009784,0.1499376
0.0406811,0.0,0.0705312,-0.0002381,0.0009865,0.152908
0.0406811,0.0,0.0720958,-0.0002264,0.0009903,0.1548068
0.0406811,0.0,0.0736604,-0.0002348,0.0009779,0.1583724
0.0406811,0.0,0.075225,-0.0001911,0.0009946,0.1600072
0.0406811,0.0,0.0767896,-0.0001564,0.0010183,0.1629851
0.0406811,0.0,0.0783543,-0.0001361,0.0010353,0.1643038
0.0406811,0.0,0.0799189,-9.03e-05,0.0010778,0.1665548
0.0406811,0.0,0.0814835,-6.46e-05,0.0011044,0.1674647
0.0406811,0.0,0.0830481,-5.4e-06,0.0011766,0.1687813
0.0406811,0.0,0.0846127,2.92e-05,0.0012283,0.1691508
0.0406811,0.0,0.0861773,6.37e-05,0.0013651,0.1692046
0.0406811,0.0,0.0877419,0.0001103,0.001488,0.1688066
0.0406811,0.0,0.0893066,0.0002386,0.0018839,0.166908
0.0406811,0.0,0.0908712,0.0003366,0.0021872,0.1652181
0.0406811,0.0,0.0924358,0.0006745,0.0030838,0.1593504
0.0406811,0.0,0.0940004,0.0009494,0.0037011,0.1543483
0.0406811,0.0,0.095565,0.001757,0.0052184,0.1366945
0.0406811,0.0,0.0971296,0.0022846,0.0060022,0.123778
0.0406811,0.0,0.0986943,0.0034227,0.0074035,0.0912077
0.0406811,0.0,0.1002589,0.0039233,0.0079502,0.0706469
0.0406811,0.0,0.1018235,0.0045024,0.0085771,0.0211979
0.0406811,0.0,0.1033881,0.0045119,0.00861,-0.0057786
0.0406811,0.0,0.1049527,0.0039887,0.0081254,-0.0567726
0.0406811,0.0,0.1065173,0.0035258,0.0076593,-0.07869
0.0406811,0.0,0.108082,0.0024407,0.0064435,-0.1144692
0.0406811,0.0,0.1096466,0.0019114,0.0057676,-0.1290315
0.0406811,0.0,0.1112112,0.0009972,0.0044709,-0.1499833
0.0406811,0.0,0.1127758,0.0006533,0.003895,-0.1566237
0.0406811,0.0,0.1143404,0.0002026,0.0028828,-0.1655738
0.0406811,0.0,0.115905,6.02e-05,0.0024795,-0.1686373
0.0406811,0.0,0.1174697,-0.0001317,0.0019267,-0.1728581
0.0406811,0.0,0.1190343,-0.0001928,0.0017639,-0.1741912
0.0406811,0.0,0.1205989,-5.4e-05,0.0013257,-0.1754039
0.0406811,0.0,0.1221635,-0.0002896,0.0015369,-0.1757363
0.0406811,0.0,0.1237281,-0.0002123,0.0016126,-0.175392
0.0406811,0.0,0.1252928,-0.0003286,0.0014615,-0.1743879
0.0406811,0.0,0.1268574,-0.0002265,0.0015232,-0.1733779
0.0406811,0.0,0.128422,-0.0003112,0.0014343,-0.1708613
0.0406811,0.0,0.1299866,-0.0003199,0.0014213,-0.1692978
0.0406811,0.0,0.1315512,-0.0002008,0.0014374,-0.1663784
0.0406811,0.0,0.1331158,-0.0003517,0.0013816,-0.1627603
0.0406811,0.0,0.1346805,-0.0003517,0.0013816,-0.1627603
0.0406811,0.0,0.1362451,-0.0003654,0.0013707,-0.1584647
0.0406811,0.0,0.1378097,-0.0003831,0.0013539,-0.1538632
0.0406811,0.0,0.1393743,-0.0003979,0.0013339,-0.1489947
0.0406811,0.0,0.1409389,-0.0004118,0.0013129,-0.1439009
0.0406811,0.0,0.1425035,-0.0004118,0.0013129,-0.1439009
0.0406811,0.0,0.1440682,-0.0004233,0.0012914,-0.1386161
0.0406811,0.0,0.1456328,-0.0004329,0.0012699,-0.1331766
0.0406811,0.0,0.1471974,-0.0004401,0.0012488,-0.1276193
0.0406811,0.0,0.148762,-0.0004454,0.0012276,-0.1261669
0.0406811,0.0,0.1503266,-0.0004453,0.0012283,-0.1219797
0.0406811,0.0,0.1518912,-0.0004484,0.0012085,-0.1162907
0.0406811,0.0,0.1534559,-0.0004498,0.0011897,-0.1105818
0.0406811,0.0,0.1550205,-0.0004515,0.0013092,-0.1061591
0.0406811,0.0,0.1565851,-0.0004497,0.0011718,-0.1048798
0.0406811,0.0,0.1581497,-0.0004484,0.0011548,-0.0992079
0.0406811,0.0,0.1597143,-0.000446,0.0011388,-0.0935869
0.0406811,0.0,0.1612789,-0.0004427,0.0011238,-0.0880344
0.0406811,0.0,0.1628436,-0.0004537,0.0011631,-0.0873495
0.0406811,0.0,0.1644082,-0.0004389,0.0011095,-0.0825654
0.0406811,0.0,0.1659728,-0.0004345,0.001096,-0.077191
0.0406811,0.0,0.1675374,-0.0004297,0.0010831,-0.0719183
0.0406811,0.0,0.169102,-0.0005011,0.0012363,-0.0684972
0.0406811,0.0,0.1706666,-0.0004245,0.0010708,-0.0667542
0.0406811,0.0,0.1722313,-0.0004191,0.001059,-0.0617049
0.0406811,0.0,0.1737959,-0.0004134,0.0010477,-0.056774
0.0406811,0.0,0.1753605,-0.0004076,0.001037,-0.0519632
0.0406811,0.0,0.1769251,-0.0004076,0.001037,-0.0519632
0.0406811,0.0,0.1784897,-0.0004017,0.0010269,-0.0472718
0.0406811,0.0,0.1800543,-0.0003958,0.0010174,-0.0426973
0.0406811,0.0,0.181619,-0.00039,0.0010086,-0.0382356
0.0406811,0.0,0.1831836,-0.00039,0.0010086,-0.0382356
0.0406811,0.0,0.1847482,-0.0003844,0.0010005,-0.0338809
0.0406811,0.0,0.1863128,-0.0003791,0.0009933,-0.0296263
0.0406811,0.0,0.1878774,-0.0003741,0.0009868,-0.0254641
0.0406811,0.0,0.189442,-0.0003741,0.0009868,-0.0254641
0.0406811,0.0,0.1910067,-0.0003696,0.0009812,-0.0213851
0.0406811,0.0,0.1925713,-0.0003656,0.0009765,-0.0173803
0.0406811,0.0,0.1941359,-0.0003621,0.0009727,-0.0134389
0.0406811,0.0,0.1957005,-0.0003621,0.0009727,-0.0134389
0.0406811,0.0,0.1972651,-0.0003592,0.0009698,-0.009552
0.0406811,0.0,0.1988297,-0.000357,0.0009679,-0.0057066
0.0406811,0.0,0.2003944,-0.0003553,0.000967,-0.0018966
0.0422409,0.0,0.0251573,-0.0003392,0.0005293,0.051138
0.0422409,0.0,0.0267219,-0.0003392,0.0005293,0.051138
0.0422409,0.0,0.0282865,-0.0003499,0.0005539,0.0546156
0.0422409,0.0,0.0298511,-0.0003601,0.0005788,0.058257
0.0422409,0.0,0.0314157,-0.0003698,0.0006042,0.0620624
0.0422409,0.0,0.0329804,-0.0003698,0.0006042,0.0620624
0.0422409,0.0,0.034545,-0.0003971,0.0006177,0.066031
0.0422409,0.0,0.0361096,-0.000406,0.0006433,0.0701598
0.0422409,0.0,0.0376742,-0.0004138,0.000669,0.0744441
0.0422409,0.0,0.0392388,-0.0004138,0.000669,0.0744441
0.0422409,0.0,0.0408034,-0.0004205,0.0006948,0.0788768
0.0422409,0.0,0.0423681,-0.0004257,0.0007205,0.0834487
0.0422409,0.0,0.0439327,-0.0004295,0.0007461,0.0881477
0.0422409,0.0,0.0454973,-0.0004315,0.0007713,0.0929591
0.0422409,0.0,0.0470619,-0.0004315,0.0007713,0.0929591
0.0422409,0.0,0.0486265,-0.0004316,0.0007961,0.0978652
0.0422409,0.0,0.0501911,-0.0004297,0.0008204,0.1028453
0.0422409,0.0,0.0517558,-0.0004256,0.000844,0.1078757
0.0422409,0.0,0.0533204,-0.0004256,0.000844,0.1078757
0.0422409,0.0,0.054885,-0.000419,0.0008669,0.1129294
0.0422409,0.0,0.0564496,-0.00041,0.0008889,0.1179765
0.0422409,0.0,0.0580142,-0.0003984,0.0009101,0.1229842
0.0422409,0.0,0.0595789,-0.0003984,0.0009101,0.1229842
0.0422409,0.0,0.0611435,-0.0003842,0.0009303,0.1279167
0.0422409,0.0,0.0627081,-0.0003674,0.0009494,0.1327359
