x_mm;z_mm;V;U;W
23.5243278;30.58250249;0.005628367;-0.148668566;-0.142805505
23.5243278;32.14711924;0.003261721;-0.145135013;-0.138823595
23.5243278;33.711736;0.001328565;-0.14207715;-0.134799484
23.5243278;35.27635275;0.002166404;-0.139228154;-0.141988288
23.5243278;36.8409695;0.002710011;-0.13558524;-0.146804861
23.5243278;38.40558626;0.00254952;-0.132725251;-0.147407073
23.5243278;39.97020301;0.002103451;-0.128232442;-0.149576843
23.5243278;41.53481977;0.001344954;-0.124571172;-0.152886265
23.5243278;43.09943652;0.000325074;-0.121576443;-0.154621802
23.5243278;44.66405328;-0.0003813;-0.117565216;-0.155754242
23.5243278;46.22867003;-0.002570451;-0.114877809;-0.15062436
23.5243278;47.79328679;-0.003358258;-0.111742884;-0.149298759
23.5243278;49.35790354;-0.003613059;-0.108495505;-0.148942047
23.5243278;50.92252029;-0.004772795;-0.105601572;-0.144701572
23.5243278;52.48713705;-0.004635561;-0.100893703;-0.145298912
23.5243278;54.0517538;-0.004618249;-0.096358733;-0.146056276
23.5243278;55.61637056;-0.004516875;-0.092951671;-0.145789407
23.5243278;57.18098731;-0.004468066;-0.089964606;-0.145354478
23.5243278;58.74560407;-0.005470674;-0.086804199;-0.142123067
23.5243278;60.31022082;-0.006017021;-0.083278302;-0.138650632
23.5243278;61.87483758;-0.00555282;-0.079219116;-0.139739353
23.5243278;63.43945433;-0.005386544;-0.077118887;-0.135843173
23.5243278;65.00407108;-0.006064735;-0.072729349;-0.135096517
23.5243278;66.56868784;-0.005194994;-0.068255513;-0.138135858
23.5243278;68.13330459;-0.002799797;-0.063437307;-0.143650054
23.5243278;69.69792135;-0.002131819;-0.059311443;-0.143926255
23.5243278;71.2625381;-0.002592103;-0.057319516;-0.141215582
23.5243278;72.82715486;-0.002269191;-0.054424092;-0.140768506
23.5243278;74.39177161;-0.00185832;-0.050182339;-0.138086002
23.5243278;75.95638837;-0.001959724;-0.047169203;-0.132736766
23.5243278;77.52100512;-0.000919587;-0.044986795;-0.133573074
23.5243278;79.08562188;0.000276185;-0.041516167;-0.138036194
23.5243278;80.65023863;-6.25E-06;-0.037644187;-0.136134243
23.5243278;82.21485538;-0.00078894;-0.036121215;-0.126541446
23.5243278;83.77947214;-0.000861272;-0.033146258;-0.120808838
23.5243278;85.34408889;-0.000559846;-0.030726165;-0.119047052
23.5243278;86.90870565;-3.36E-05;-0.029394133;-0.11817086
23.5243278;88.4733224;0.000265826;-0.025327351;-0.118084767
23.5243278;90.03793916;-0.0015788;-0.025775894;-0.106648361
23.5243278;91.60255591;-0.002466845;-0.017282839;-0.105276297
23.5243278;93.16717267;-0.002562457;-0.015368241;-0.095769642
23.5243278;94.73178942;-0.002466075;-0.014282552;-0.098511167
23.5243278;96.29640617;-0.001881445;-0.013104085;-0.097163209
23.5243278;97.86102293;-0.000782895;-0.007450718;-0.103585823
23.5243278;99.42563968;-0.000655388;0.001123194;-0.114634397
23.5243278;100.9902564;-0.00128082;0.002326365;-0.114103038
23.5243278;102.5548732;0;0;0
25.08403864;-77.37605357;-0.002392392;0.046909669;-0.013008911
25.08403864;-75.81143682;-0.002471723;0.049962399;-0.011734856
25.08403864;-74.24682006;-0.002402524;0.054125952;-0.021549471
25.08403864;-72.68220331;-0.003045315;0.059414687;-0.030624015
