x_m,y_m,z_m,U,V,W
0.040681147,0.0,0.0486265311,-0.020897331,-0.122988794,0.103011837
0.040681147,0.0,0.0501911478,-0.020572657,-0.129943059,0.107144684
0.040681147,0.0,0.0517557646,-0.020023943,-0.136253489,0.11212291
0.040681147,0.0,0.0533203813,-0.018977339,-0.144728066,0.117606989
0.040681147,0.0,0.0548849981,-0.018242728,-0.14699652,0.12250877
0.040681147,0.0,0.0564496149,-0.017673536,-0.153657627,0.127246795
0.040681147,0.0,0.0580142316,-0.017620333,-0.152347686,0.129811752
0.040681147,0.0,0.0595788484,-0.017365358,-0.155151302,0.133581236
0.040681147,0.0,0.0611434651,-0.01662598,-0.15482583,0.13612317
0.040681147,0.0,0.0627080819,-0.015161361,-0.152416918,0.13915299
0.040681147,0.0,0.0642726986,-0.013581619,-0.150241407,0.142100006
0.040681147,0.0,0.0658373154,-0.012628705,-0.150125134,0.146117853
0.040681147,0.0,0.0674019321,-0.01146964,-0.153232806,0.149338793
0.040681147,0.0,0.0689665489,-0.00973499,-0.158800322,0.151206942
0.040681147,0.0,0.0705311656,-0.008492515,-0.161467577,0.154191888
0.040681147,0.0,0.0720957824,-0.008216322,-0.155901912,0.155798182
0.040681147,0.0,0.0736603992,-0.007751872,-0.145615258,0.156463648
0.040681147,0.0,0.0752250159,-0.005465895,-0.14022254,0.158120636
0.040681147,0.0,0.0767896327,-0.003351593,-0.135930468,0.161142784
0.040681147,0.0,0.0783542494,-0.002677708,-0.129263382,0.162085195
0.040681147,0.0,0.0799188662,-0.00189262,-0.126012531,0.163734908
0.040681147,0.0,0.0814834829,9.07e-05,-0.120103252,0.164481579
0.040681147,0.0,0.0830480997,0.004039869,-0.115437457,0.164545513
0.040681147,0.0,0.0846127164,0.009285173,-0.117967458,0.163559984
0.040681147,0.0,0.0861773332,0.016497317,-0.121358489,0.164800772
0.040681147,0.0,0.0877419499,0.029051746,-0.133637798,0.164219581
0.040681147,0.0,0.0893065667,0.047739294,-0.155748358,0.167509785
0.040681147,0.0,0.0908711835,0.074285242,-0.195341588,0.170580824
0.040681147,0.0,0.0924358002,0.113118933,-0.262984822,0.173193842
0.040681147,0.0,0.094000417,0.155583573,-0.33052828,0.171859289
0.040681147,0.0,0.0955650337,0.216118797,-0.429325028,0.163077414
0.040681147,0.0,0.0971296505,0.301340459,-0.560740464,0.151064492
0.040681147,0.0,0.0986942672,0.396308251,-0.673974927,0.129887469
0.040681147,0.0,0.100258884,0.472967519,-0.705974716,0.100005942
0.040681147,0.0,0.1018235007,0.522491863,-0.698459094,0.066909936
0.040681147,0.0,0.1033881175,0.533266195,-0.701153666,0.033552632
0.040681147,0.0,0.1049527342,0.502391871,-0.706428672,-0.000848624
0.040681147,0.0,0.106517351,0.436001574,-0.688871154,-0.031994331
0.040681147,0.0,0.1080819677,0.349380349,-0.638377336,-0.06528315
0.040681147,0.0,0.1096465845,0.257678703,-0.517955556,-0.095438973
0.040681147,0.0,0.1112112013,0.188522719,-0.413739674,-0.121033111
0.040681147,0.0,0.112775818,0.140527782,-0.334041682,-0.13750962
0.040681147,0.0,0.1143404348,0.097344294,-0.251203275,-0.147261111
0.040681147,0.0,0.1159050515,0.062818356,-0.187756592,-0.152997461
0.040681147,0.0,0.1174696683,0.039820786,-0.15411984,-0.154699703
0.040681147,0.0,0.119034285,0.023399865,-0.133181295,-0.156782619
0.040681147,0.0,0.1205989018,0.012989534,-0.120096545,-0.156411387
0.040681147,0.0,0.1221635185,0.006537872,-0.115396348,-0.155542954
0.040681147,0.0,0.1237281353,0.002806663,-0.121554829,-0.154968154
0.040681147,0.0,0.125292752,0.000186915,-0.128202642,-0.153569367
0.040681147,0.0,0.1268573688,-0.001451619,-0.135237259,-0.150658462
0.040681147,0.0,0.1284219856,-0.003444226,-0.138885488,-0.148444783
